Time,Clonskeagh Totem,Clonskeagh Totem IN,Clonskeagh Totem OUT,Dun Laogaire @ Seapoint Beach Cyclist,Dun Laogaire @ Seapoint Beach Cyclists IN,Dun Laogaire @ Seapoint Beach Cyclists OUT,Dun Laoghaire @ Peoples Park Cyclist,Dun Laoghaire @ Peoples Park Cyclists IN,Dun Laoghaire @ Peoples Park Cyclists OUT,Dun Laoghaire @ York Road Cyclist,Dun Laoghaire @ York Road Cyclists IN,Dun Laoghaire @ York Road Cyclists OUT,Glenageary Cyclist,Glenageary Bikes IN,Glenageary Bikes OUT,Grange Road Totem,N11 Before UCD,N11 Before UCD Cyclist IN,N11 Before UCD Cyclist OUT,N11 Outbound (Montrose),N11 Outbound (Montrose) OUT-Away From City Centre,N11 Outbound (Montrose) IN- Towards City Centre,N11 Totem Inbound,Rock Road Bus Lane,Rock Road Park,Rock Road Park IN,Rock Road Park OUT,Rock Road Totem Inbound,Wyattville Rd - Bicycles From N11,Wyattville Rd - Bicycles Towards N11,Wyattville Rd At Park Gates Cyclist,Wyattville Rd At Park Gates Bikes IN,Wyattville Rd At Park Gates Bikes OUT,Wyattville Road At Steps Cyclist,Wyattville Road At Steps Bikes IN,Wyattville Road At Steps Bikes OUT
"Jan 1, 2016 12:00 AM",5,2,3,,,,,,,,,,0,0,0,0,,,,0,0,0,0,1,0,0,0,7,,,,,,,,
"Jan 1, 2016 1:00 AM",3,0,3,,,,,,,,,,0,0,0,0,,,,0,0,0,2,0,1,1,0,3,,,,,,,,
"Jan 1, 2016 2:00 AM",5,2,3,,,,,,,,,,0,0,0,1,,,,3,3,0,0,3,0,0,0,7,,,,,,,,
"Jan 1, 2016 3:00 AM",1,0,1,,,,,,,,,,0,0,0,0,,,,1,1,0,1,1,1,0,1,5,,,,,,,,
"Jan 1, 2016 4:00 AM",3,0,3,,,,,,,,,,0,0,0,0,,,,3,2,1,0,3,1,1,0,5,,,,,,,,
"Jan 1, 2016 5:00 AM",3,1,2,,,,,,,,,,1,1,0,0,,,,0,0,0,2,0,2,0,2,2,,,,,,,,
"Jan 1, 2016 6:00 AM",3,2,1,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,6,,,,,,,,
"Jan 1, 2016 7:00 AM",5,4,1,,,,,,,,,,3,3,0,1,,,,0,0,0,0,4,0,0,0,2,,,,,,,,
"Jan 1, 2016 8:00 AM",5,2,3,,,,,,,,,,1,0,1,0,,,,0,0,0,0,2,2,1,1,8,,,,,,,,
"Jan 1, 2016 9:00 AM",5,3,2,,,,,,,,,,6,5,1,0,,,,2,2,0,2,1,6,0,6,8,,,,,,,,
"Jan 1, 2016 10:00 AM",11,7,4,,,,,,,,,,1,1,0,1,,,,3,3,0,5,7,17,3,14,13,,,,,,,,
"Jan 1, 2016 11:00 AM",9,4,5,,,,,,,,,,5,4,1,1,,,,2,2,0,3,5,10,8,2,19,,,,,,,,
