Time,Clonskeagh Totem,Clonskeagh Totem IN,Clonskeagh Totem OUT,Dun Laoghaire @ Peoples Park Cyclist,Dun Laoghaire @ Peoples Park Cyclists IN,Dun Laoghaire @ Peoples Park Cyclists OUT,Dun Laoghaire @ Seapoint Beach Cyclist,Dun Laoghaire @ Seapoint Beach Cyclist IN,Dun Laoghaire @ Seapoint Beach Cyclist OUT,Dun Laoghaire @ York Road Cyclist,Dun Laoghaire @ York Road Cyclists IN,Dun Laoghaire @ York Road Cyclists OUT,Glenageary Cyclist,Glenageary Bikes IN,Glenageary Bikes OUT,Grange Road Totem,N11 Before UCD,N11 Before UCD Cyclist IN,N11 Before UCD Cyclist OUT,N11 Outbound (Montrose),N11 Outbound (Montrose) OUT-Away From City Centre,N11 Outbound (Montrose) IN- Towards City Centre,N11 Totem Inbound,Rock Road Bus Lane,Rock Road Park,Rock Road Park IN,Rock Road Park OUT,Rock Road Totem Inbound,Wyattville Rd - Bicycles From N11,Wyattville Rd - Bicycles Towards N11,Wyattville Rd - Bicycles Towards N11 Cyclist IN,Wyattville Rd - Bicycles Towards N11 Cyclist OUT,Wyattville Rd At Park Gates Cyclist,Wyattville Rd At Park Gates Bikes IN,Wyattville Rd At Park Gates Bikes OUT,Wyattville Road At Steps Cyclist,Wyattville Road At Steps Bikes IN,Wyattville Road At Steps Bikes OUT
"Jan 1, 2023 12:00 AM",4,2,2,0,0,0,2,0,2,2,0,2,,,,0,1,1,0,0,0,0,1,1,1,0,1,2,0,0,,,0,0,0,,,
"Jan 1, 2023 1:00 AM",4,1,3,0,0,0,0,0,0,3,1,2,,,,0,4,4,0,3,3,0,3,5,1,1,0,7,0,0,,,0,0,0,,,
"Jan 1, 2023 2:00 AM",5,3,2,5,4,1,10,7,3,6,4,2,,,,0,1,1,0,1,1,0,1,4,4,3,1,4,1,0,,,1,1,0,,,
"Jan 1, 2023 3:00 AM",4,2,2,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,1,1,0,0,2,1,1,0,2,0,0,,,0,0,0,,,
"Jan 1, 2023 4:00 AM",4,2,2,0,0,0,2,1,1,2,1,1,,,,0,2,1,1,3,3,0,1,0,0,0,0,1,0,0,,,0,0,0,,,
"Jan 1, 2023 5:00 AM",1,0,1,1,1,0,2,2,0,1,0,1,,,,0,0,0,0,1,1,0,0,0,3,2,1,3,0,0,,,0,0,0,,,
"Jan 1, 2023 6:00 AM",5,4,1,0,0,0,2,2,0,1,1,0,,,,0,2,2,0,2,2,0,2,3,0,0,0,5,0,0,,,0,0,0,,,
"Jan 1, 2023 7:00 AM",7,4,3,4,2,2,3,2,1,2,1,1,,,,2,1,1,0,1,1,0,3,2,1,1,0,8,2,2,,,1,1,0,,,
"Jan 1, 2023 8:00 AM",10,3,7,20,16,4,28,25,3,19,15,4,,,,4,4,4,0,1,1,0,4,7,9,8,1,6,0,1,,,2,2,0,,,
"Jan 1, 2023 9:00 AM",8,4,4,27,18,9,37,18,19,20,13,7,,,,4,2,2,0,3,3,0,2,7,7,6,1,7,0,8,,,6,5,1,,,
"Jan 1, 2023 10:00 AM",21,14,7,67,40,27,78,53,25,58,42,16,,,,5,8,8,0,5,5,0,8,16,27,21,6,14,4,2,,,3,2,1,,,
"Jan 1, 2023 11:00 AM",20,9,11,62,23,39,77,38,39,58,30,28,,,,3,6,5,1,3,3,0,5,9,33,20,13,19,1,4,,,2,0,2,,,
"Jan 1, 2023 12:00 PM",24,9,15,93,53,40,71,34,37,72,41,31,,,,17,9,8,1,5,5,0,6,13,23,13,10,14,1,3,,,1,0,1,,,
"Jan 1, 2023 1:00 PM",22,14,8,66,25,41,70,28,42,50,19,31,,,,11,5,5,0,3,3,0,5,12,24,14,10,24,4,1,,,9,6,3,,,
"Jan 1, 2023 2:00 PM",10,5,5,62,33,29,65,36,29,49,31,18,,,,4,5,5,0,4,3,1,5,12,26,15,11,14,4,3,,,1,1,0,,,
"Jan 1, 2023 3:00 PM",18,11,7,66,31,35,61,33,28,66,32,34,,,,27,3,3,0,6,3,3,2,8,24,11,13,12,1,0,,,1,1,0,,,
"Jan 1, 2023 4:00 PM",19,9,10,60,34,26,57,26,31,42,23,19,,,,2,5,5,0,5,4,1,7,12,14,6,8,11,2,1,,,1,0,1,,,
"Jan 1, 2023 5:00 PM",17,5,12,34,14,20,21,5,16,19,6,13,,,,6,4,3,1,5,5,0,4,6,3,0,3,10,1,2,,,6,3,3,,,
"Jan 1, 2023 6:00 PM",23,14,9,4,2,2,15,6,9,6,3,3,,,,6,7,6,1,4,2,2,6,4,2,2,0,10,0,0,,,3,2,1,,,
"Jan 1, 2023 7:00 PM",14,10,4,12,5,7,14,6,8,11,2,9,,,,7,5,5,0,2,2,0,4,6,7,2,5,8,1,0,,,0,0,0,,,
"Jan 1, 2023 8:00 PM",16,5,11,6,5,1,8,4,4,3,1,2,,,,4,3,2,1,4,4,0,3,1,5,2,3,6,0,1,,,1,1,0,,,
"Jan 1, 2023 9:00 PM",13,4,9,2,2,0,7,5,2,3,2,1,,,,4,2,2,0,8,6,2,2,3,2,2,0,4,0,0,,,0,0,0,,,
"Jan 1, 2023 10:00 PM",8,3,5,3,1,2,3,1,2,3,1,2,,,,2,4,4,0,3,2,1,5,2,0,0,0,5,0,0,,,2,1,1,,,
"Jan 1, 2023 11:00 PM",8,2,6,2,2,0,1,0,1,1,0,1,,,,2,0,0,0,3,3,0,0,0,0,0,0,3,0,2,,,0,0,0,,,
"Jan 2, 2023 12:00 AM",4,0,4,0,0,0,0,0,0,1,0,1,,,,1,2,2,0,2,2,0,2,2,1,1,0,3,0,0,,,2,2,0,,,
"Jan 2, 2023 1:00 AM",1,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,
"Jan 2, 2023 2:00 AM",2,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,,,0,0,0,,,
"Jan 2, 2023 3:00 AM",0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,
"Jan 2, 2023 4:00 AM",0,0,0,0,0,0,1,0,1,1,0,1,,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,0,0,0,,,
"Jan 2, 2023 5:00 AM",2,0,2,0,0,0,1,0,1,0,0,0,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,,,0,0,0,,,
"Jan 2, 2023 6:00 AM",8,4,4,3,0,3,4,2,2,2,1,1,,,,2,2,2,0,0,0,0,2,2,1,0,1,8,0,2,,,0,0,0,,,
"Jan 2, 2023 7:00 AM",15,6,9,4,3,1,6,4,2,6,4,2,,,,2,5,5,0,4,3,1,5,4,1,0,1,5,1,1,,,0,0,0,,,
